idx,formula,n_heavy,DoU,gap_Ha,n_frontier_within_kT,largest_pi_atoms,n_aromatic_atoms
211,C4H4N2,6,4.0,0.20903,0,6,6
912,C5H6N2,7,4.0,0.21025,0,6,6
989,C4H2N2O,7,5.0,0.21049,0,7,5
984,C5H4N2,7,5.0,0.21063,0,7,5
337,C3H5N3,6,3.0,0.21087,0,5,0
925,C5H5NO,7,4.0,0.21109,0,7,6
549,C4H6O2,6,2.0,0.21172,0,0,0
748,C3H4N2O,6,3.0,0.21173,0,6,5
929,C4H4N2O,7,4.0,0.21198,0,7,6
274,C2H4N2O2,6,2.0,0.21206,0,6,0
235,C4H6O2,6,2.0,0.21216,0,0,0
89,C3H5NO,5,2.0,0.21226,0,0,0
928,C5H5NO,7,4.0,0.21231,0,7,6
476,C4N2,6,6.0,0.21242,0,6,0
56,C3H3NO,5,3.0,0.2126,0,4,0
342,C3H3NO2,6,3.0,0.21272,0,4,0
952,C4H5NO2,7,3.0,0.21304,0,7,5
413,C4H7NO,6,2.0,0.21311,0,0,0
336,C4H5NO,6,3.0,0.21314,0,4,0
988,C4H3N3,7,5.0,0.21314,0,7,5
977,C4H6N2O,7,3.0,0.21324,0,6,5
957,C4H5NO2,7,3.0,0.21358,0,7,5
832,C4H6N2O,7,3.0,0.21365,0,6,5
432,C4H5NO,6,3.0,0.21372,0,5,0
888,C3H2N2O2,7,4.0,0.21386,0,7,6
954,C3H4N2O2,7,3.0,0.21406,0,7,5
785,C3H6N2O2,7,2.0,0.21433,0,6,0
949,C4H6N2O,7,3.0,0.21448,0,7,5
202,C3H4N2O,6,3.0,0.2149,0,6,5
434,C4H5NO,6,3.0,0.21496,0,5,0
987,C4H2N2O,7,5.0,0.21502,0,7,5
491,C3H5NO2,6,2.0,0.21504,0,3,0
429,C4H5NO,6,3.0,0.21505,0,5,0
379,C3H6O3,6,1.0,0.2151,0,0,0
601,C4H6O2,6,2.0,0.2152,0,0,0
747,C2H4N4,6,3.0,0.21538,0,6,5
938,C5H7NO,7,3.0,0.21548,0,6,5
877,C3H4N2O2,7,3.0,0.21554,0,7,5
913,C4H5N3,7,4.0,0.21569,0,6,6
758,C2H3N3O,6,3.0,0.21584,0,6,5
921,C4H5N3,7,4.0,0.2159,0,7,6
239,C2H5N3O,6,2.0,0.21647,0,6,0
882,C4H7N3,7,3.0,0.21662,0,6,5
946,C4H5NO2,7,3.0,0.21685,0,6,5
850,C5H7NO,7,3.0,0.21708,0,6,5
992,C6H4O,7,5.0,0.21713,0,7,5
674,C4H4O2,6,3.0,0.21733,0,0,0
922,C3H4N4,7,4.0,0.2174,0,7,6
859,C4H6N2O,7,3.0,0.21748,0,7,5
839,C4H6N2O,7,3.0,0.21752,0,7,5
745,C2H3N3O,6,3.0,0.21759,0,6,5
755,CH3N5,6,3.0,0.21769,0,6,5
923,C6H6O,7,4.0,0.21785,0,7,6
400,C4H6O2,6,2.0,0.21788,0,0,0
37,C2H4O2,4,1.0,0.21799,0,0,0
950,C3H5N3O,7,3.0,0.21808,0,7,5
986,C4H3N3,7,5.0,0.21814,0,7,5
441,C4H6O2,6,2.0,0.2182,0,0,0
821,C5H7NO,7,3.0,0.2183,0,6,5
993,C5H3NO,7,5.0,0.2183,0,7,5
871,C3H5N3O,7,3.0,0.21838,0,7,5
212,C3H3N3,6,4.0,0.2184,0,6,6
836,C4H6N2O,7,3.0,0.21874,0,7,5
570,C4H7NO,6,2.0,0.21892,0,0,0
941,C5H7NO,7,3.0,0.219,0,6,5
879,C5H8N2,7,3.0,0.21925,0,6,5
503,C5H4O,6,4.0,0.21934,0,4,0
492,C4H6O2,6,2.0,0.21945,0,0,0
110,C2H3NO2,5,2.0,0.21948,0,5,0
550,C4H6O2,6,2.0,0.21952,0,0,0
493,C3H5NO2,6,2.0,0.21953,0,3,0
867,C4H6N2O,7,3.0,0.21957,0,6,5
944,C5H6O2,7,3.0,0.21972,0,6,5
947,C5H7NO,7,3.0,0.21991,0,6,5
959,C3H4N2O2,7,3.0,0.21994,0,7,5
498,C5H6O,6,3.0,0.22001,0,0,0
142,C3H5NO,5,2.0,0.22004,0,0,0
181,C3H4N2O,6,3.0,0.22016,0,6,5
143,C3H4O2,5,2.0,0.22039,0,0,0
409,C5H8O,6,2.0,0.22058,0,0,0
600,C4H7NO,6,2.0,0.22058,0,0,0
673,C4H5NO,6,3.0,0.22071,0,0,0
932,C3H3N3O,7,4.0,0.22078,0,7,6
865,C4H5NO2,7,3.0,0.22079,0,7,5
399,C4H6O2,6,2.0,0.22086,0,0,0
820,C5H8N2,7,3.0,0.22093,0,6,5
835,C4H7N3,7,3.0,0.22099,0,7,5
838,C4H5NO2,7,3.0,0.22107,0,7,5
845,C4H5NO2,7,3.0,0.22112,0,7,5
201,C4H5NO,6,3.0,0.22128,0,6,5
325,C5H6O,6,3.0,0.22129,0,0,0
300,C4H6O2,6,2.0,0.22139,0,0,0
869,C4H6N2O,7,3.0,0.2214,0,6,5
789,C4H8N2O,7,2.0,0.22165,0,3,0
990,C6H5N,7,5.0,0.22165,0,7,5
856,C4H6N2O,7,3.0,0.22169,0,6,5
572,C4H7NO,6,2.0,0.22176,0,0,0
200,C3H5N3,6,3.0,0.2218,0,6,5
327,C4H4O2,6,3.0,0.22206,0,0,0
548,C5H8O,6,2.0,0.22207,0,0,0
418,C4H6O2,6,2.0,0.22208,0,0,0
499,C3H6N2O,6,2.0,0.2221,0,5,0
237,C3H5NO2,6,2.0,0.22218,0,5,0
86,C4H6O,5,2.0,0.22221,0,0,0
438,C5H8O,6,2.0,0.22224,0,0,0
189,C4H5NO,6,3.0,0.22246,0,6,5
251,C4H8O2,6,1.0,0.22247,0,0,0
834,C4H5NO2,7,3.0,0.22249,0,6,5
842,C3H5N3O,7,3.0,0.22258,0,7,5
776,CHN3O2,6,3.0,0.22264,0,6,5
991,C5H4N2,7,5.0,0.22274,0,7,5
906,C6H7N,7,4.0,0.22289,0,6,6
754,C2H4N4,6,3.0,0.223,0,6,5
296,C5H8O,6,2.0,0.22304,0,0,0
333,C3H5N3,6,3.0,0.22315,0,5,0
398,C4H7NO,6,2.0,0.22323,0,0,0
843,C3H5N3O,7,3.0,0.2234,0,7,5
746,C3H5N3,6,3.0,0.22348,0,6,5
823,C5H6O2,7,3.0,0.22349,0,6,5
945,C4H6N2O,7,3.0,0.22349,0,6,5
958,C4H5NO2,7,3.0,0.22361,0,7,5
909,C6H7N,7,4.0,0.22375,0,6,6
814,C2HF3O,6,1.0,0.22378,0,0,0
937,C5H8N2,7,3.0,0.22386,0,6,5
675,C4H5NO,6,3.0,0.22393,0,0,0
618,C4H6O2,6,2.0,0.22397,0,0,0
128,C3H6O2,5,1.0,0.22422,0,0,0
571,C4H6O2,6,2.0,0.22424,0,0,0
5,CH2O,2,1.0,0.2243,0,0,0
485,C5H6O,6,3.0,0.2246,0,0,0
827,C5H7NO,7,3.0,0.2246,0,6,5
996,C5H3NO,7,5.0,0.22475,0,7,5
106,C4H4O,5,3.0,0.2248,0,0,0
209,C5H5N,6,4.0,0.22481,0,6,6
190,C3H4N2O,6,3.0,0.22482,0,6,5
205,C3H3NO2,6,3.0,0.22493,0,6,5
428,C5H6O,6,3.0,0.22494,0,0,0
569,C5H8O,6,2.0,0.22517,0,0,0
414,C4H6O2,6,2.0,0.22518,0,0,0
326,C4H5NO,6,3.0,0.22522,0,0,0
931,C4H4N2O,7,4.0,0.22528,0,7,6
964,C5H7NO,7,3.0,0.22535,0,6,5
494,C3H4O3,6,2.0,0.22537,0,3,0
219,C4H8O2,6,1.0,0.2254,0,0,0
66,C3H6O2,5,1.0,0.22584,0,0,0
833,C4H6N2O,7,3.0,0.22589,0,6,5
976,C4H6N2O,7,3.0,0.22597,0,6,5
943,C5H7NO,7,3.0,0.22606,0,6,5
378,C4H8O2,6,1.0,0.22612,0,0,0
375,C5H10O,6,1.0,0.22616,0,0,0
861,C4H5NO2,7,3.0,0.22634,0,7,5
108,C2H4N2O,5,2.0,0.22639,0,5,0
883,C4H6N2O,7,3.0,0.22652,0,6,5
199,C4H6N2,6,3.0,0.22674,0,6,5
837,C4H6N2O,7,3.0,0.22681,0,7,5
486,C4H5NO,6,3.0,0.22693,0,0,0
905,C6H7N,7,4.0,0.22696,0,6,6
65,C4H8O,5,1.0,0.22712,0,0,0
822,C5H7NO,7,3.0,0.22721,0,6,5
178,C3H6N2O,6,2.0,0.22737,0,3,0
966,C4H6N2O,7,3.0,0.22758,0,7,5
598,C5H8O,6,2.0,0.2276,0,0,0
528,C4H8O2,6,1.0,0.22768,0,0,0
236,C3H6N2O,6,2.0,0.22774,0,5,0
880,C5H7NO,7,3.0,0.22782,0,6,5
248,C5H10O,6,1.0,0.22788,0,0,0
603,C4H6O2,6,2.0,0.22788,0,0,0
742,C2H3N3O,6,3.0,0.22801,0,6,5
797,C4H8N2O,7,2.0,0.22811,0,3,0
229,C5H6O,6,3.0,0.22817,0,0,0
427,C3H5N3,6,3.0,0.22818,0,5,0
757,C2H3N3O,6,3.0,0.22837,0,6,5
124,C4H8O,5,1.0,0.22838,0,0,0
34,C3H6O,4,1.0,0.22842,0,0,0
768,C2H3N3O,6,3.0,0.22843,0,6,5
524,C5H10O,6,1.0,0.22847,0,0,0
617,C4H7NO,6,2.0,0.22852,0,0,0
218,C5H10O,6,1.0,0.22854,0,0,0
965,C4H7N3,7,3.0,0.22858,0,7,5
527,C4H8O2,6,1.0,0.22865,0,0,0
848,C6H8O,7,3.0,0.22866,0,5,5
844,C3H4N2O2,7,3.0,0.2287,0,7,5
127,C3H6O2,5,1.0,0.22881,0,0,0
841,C3H4N2O2,7,3.0,0.22897,0,7,5
495,C6H6,6,4.0,0.22908,0,4,0
875,C3H4N2O2,7,3.0,0.22915,0,7,5
858,C4H7N3,7,3.0,0.2293,0,7,5
968,C4H5NO2,7,3.0,0.22944,0,7,5
529,C4H8O2,6,1.0,0.22955,0,0,0
849,C5H8N2,7,3.0,0.22965,0,6,5
90,C3H4O2,5,2.0,0.22976,0,0,0
107,C3H3NO,5,3.0,0.22977,0,0,0
374,C4H8O2,6,1.0,0.22982,0,0,0
851,C5H7NO,7,3.0,0.22986,0,6,5
961,C5H8N2,7,3.0,0.22991,0,6,5
994,C5H4N2,7,5.0,0.23012,0,7,5
753,C2H4N4,6,3.0,0.23019,0,6,5
853,C4H6N2O,7,3.0,0.23028,0,6,5
743,C3H4N2O,6,3.0,0.23038,0,6,5
501,C6H6,6,4.0,0.23046,0,4,0
806,C4H8N2O,7,2.0,0.23049,0,3,0
948,C4H6N2O,7,3.0,0.23065,0,6,5
967,C4H6N2O,7,3.0,0.23071,0,7,5
862,C3H5N3O,7,3.0,0.23073,0,7,5
953,C3H5N3O,7,3.0,0.23073,0,7,5
997,C4H2N2O,7,5.0,0.23074,0,7,5
275,C5H10O,6,1.0,0.23083,0,0,0
204,C3H4N2O,6,3.0,0.23133,0,6,5
57,C2H3N3,5,3.0,0.23145,0,5,0
141,C4H6O,5,2.0,0.23167,0,0,0
971,C5H7NO,7,3.0,0.23178,0,6,5
504,C4H3NO,6,4.0,0.23182,0,4,0
430,C3H4N2O,6,3.0,0.23183,0,5,0
637,C5H6O,6,3.0,0.23191,0,,
752,C3H5N3,6,3.0,0.23197,0,6,5
840,C3H5N3O,7,3.0,0.23227,0,7,5
671,C5H6O,6,3.0,0.23251,0,0,0
756,C3H4N2O,6,3.0,0.23253,0,6,5
872,C3H4N2O2,7,3.0,0.23254,0,7,5
338,C4H5NO,6,3.0,0.23267,0,5,0
811,C4H6N2O,7,3.0,0.23273,0,3,0
860,C4H6N2O,7,3.0,0.23283,0,7,5
847,C6H9N,7,3.0,0.23284,0,5,5
111,C5H4,5,4.0,0.23302,0,4,0
825,C5H7NO,7,3.0,0.23307,0,6,5
970,C5H8N2,7,3.0,0.23317,0,6,5
376,C4H8O2,6,1.0,0.23318,0,0,0
866,C3H4N2O2,7,3.0,0.23328,0,7,5
397,C5H8O,6,2.0,0.23333,0,0,0
10,C2H4O,3,1.0,0.23341,0,0,0
723,C3H4N2O,6,3.0,0.23341,0,5,5
951,C4H6N2O,7,3.0,0.23372,0,7,5
328,C3H3NO2,6,3.0,0.23383,0,0,0
357,C3H6O3,6,1.0,0.23402,0,0,0
616,C5H8O,6,2.0,0.23414,0,0,0
17,C3H6O,4,1.0,0.23419,0,0,0
226,C4H5NO,6,3.0,0.23436,0,5,0
203,C4H5NO,6,3.0,0.2344,0,6,5
254,C5H10O,6,1.0,0.23443,0,0,0
995,C4H3N3,7,5.0,0.23453,0,7,5
762,CH2N4O,6,3.0,0.23459,0,6,5
934,C6H8O,7,3.0,0.23463,0,5,5
253,C4H8O2,6,1.0,0.23491,0,0,0
873,C3H4N2O2,7,3.0,0.23493,0,7,5
69,C4H8O,5,1.0,0.23502,0,0,0
349,C4H8O2,6,1.0,0.23517,0,0,0
824,C5H8N2,7,3.0,0.23534,0,6,5
348,C5H10O,6,1.0,0.23563,0,0,0
191,C3H4N2O,6,3.0,0.23569,0,6,5
819,C6H8O,7,3.0,0.23569,0,5,5
962,C5H7NO,7,3.0,0.2358,0,6,5
192,C4H5NO,6,3.0,0.23588,0,6,5
924,C5H5NO,7,4.0,0.23601,0,7,6
185,C5H6O,6,3.0,0.23603,0,5,5
744,C2H4N4,6,3.0,0.23612,0,6,5
767,C3H4N2O,6,3.0,0.23618,0,6,5
719,C3H4N2O,6,3.0,0.2364,0,5,5
955,C4H6N2O,7,3.0,0.23657,0,7,5
828,C4H6N2O,7,3.0,0.23661,0,6,5
672,C4H5NO,6,3.0,0.23695,0,3,0
230,C4H5NO,6,3.0,0.23732,0,0,0
331,C3H5NO2,6,2.0,0.23735,0,5,0
22,C4H2,4,4.0,0.23752,0,4,0
773,CH2N4O,6,3.0,0.23772,0,6,5
852,C5H7NO,7,3.0,0.23794,0,5,5
868,C4H5NO2,7,3.0,0.23811,0,6,5
339,C4H4O2,6,3.0,0.23814,0,5,0
809,C4H6N2O,7,3.0,0.23839,0,3,0
636,C6H8,6,3.0,0.23842,0,0,0
772,C2H3N3O,6,3.0,0.23849,0,6,5
904,C7H8,7,4.0,0.23861,0,6,6
188,C4H6N2,6,3.0,0.23865,0,6,5
68,C3H6O2,5,1.0,0.23876,0,0,0
936,C5H7NO,7,3.0,0.23877,0,5,5
956,C3H5N3O,7,3.0,0.23968,0,7,5
182,C3H3NO2,6,3.0,0.24014,0,6,5
942,C4H6N2O,7,3.0,0.24032,0,6,5
933,C6H9N,7,3.0,0.24037,0,5,5
846,C3H4N2O2,7,3.0,0.24063,0,7,5
969,C6H9N,7,3.0,0.24073,0,5,5
857,C4H6N2O,7,3.0,0.24079,0,6,5
763,CHN3O2,6,3.0,0.24083,0,6,5
818,C6H9N,7,3.0,0.24086,0,5,5
330,C3H6N2O,6,2.0,0.24173,0,5,0
975,C4H6N2O,7,3.0,0.24184,0,6,5
184,C5H7N,6,3.0,0.24191,0,5,5
831,C5H7NO,7,3.0,0.24202,0,5,5
855,C4H5NO2,7,3.0,0.24216,0,6,5
878,C6H9N,7,3.0,0.24223,0,5,5
963,C6H8O,7,3.0,0.24262,0,5,5
179,C3H5NO2,6,2.0,0.24277,0,3,0
864,C3H4N2O2,7,3.0,0.24278,0,7,5
807,C4H7NO2,7,2.0,0.24283,0,3,0
760,C2H3N3O,6,3.0,0.24289,0,6,5
197,C5H6O,6,3.0,0.24293,0,5,5
241,C2H4N2O2,6,2.0,0.24295,0,6,0
798,C4H7NO2,7,2.0,0.24303,0,3,0
454,C5H8O,6,2.0,0.24312,0,0,0
154,C4H6O,5,2.0,0.24327,0,0,0
167,C2H2N2O,5,3.0,0.24332,0,5,5
661,C5H7N,6,3.0,0.2435,0,0,0
186,C4H5NO,6,3.0,0.24364,0,5,5
206,C5H7N,6,3.0,0.24374,0,5,5
233,C3H6N2O,6,2.0,0.24378,0,5,0
765,CN2O3,6,3.0,0.24396,0,6,5
51,C4H4O,5,3.0,0.24409,0,5,5
805,C5H9NO,7,2.0,0.24409,0,3,0
935,C5H8N2,7,3.0,0.24414,0,5,5
863,C3H5N3O,7,3.0,0.24467,0,7,5
417,C3H5NO2,6,2.0,0.24474,0,3,0
800,C5H7NO,7,3.0,0.24476,0,3,0
447,C5H8O,6,2.0,0.2449,0,0,0
830,C5H8N2,7,3.0,0.24555,0,5,5
973,C4H6N2O,7,3.0,0.24557,0,6,5
662,C5H6O,6,3.0,0.24563,0,0,0
775,C2H2N2O2,6,3.0,0.24565,0,6,5
808,C5H7NO,7,3.0,0.24566,0,3,0
717,C4H5NO,6,3.0,0.24586,0,5,5
771,C2H3N3O,6,3.0,0.24594,0,6,5
187,C4H5NO,6,3.0,0.24596,0,5,5
770,C3H4N2O,6,3.0,0.24634,0,6,5
972,C5H8N2,7,3.0,0.24635,0,5,5
234,C3H5NO2,6,2.0,0.2464,0,5,0
854,C4H6N2O,7,3.0,0.24654,0,6,5
881,C5H8N2,7,3.0,0.24654,0,5,5
829,C4H5NO2,7,3.0,0.24667,0,6,5
431,C3H3NO2,6,3.0,0.24669,0,5,0
722,C4H5NO,6,3.0,0.24676,0,5,5
177,C4H7NO,6,2.0,0.24681,0,3,0
874,C3H3NO3,7,3.0,0.24701,0,7,5
193,C3H4N2O,6,3.0,0.24711,0,6,5
198,C4H5NO,6,3.0,0.24717,0,5,5
799,C4H7NO2,7,2.0,0.24725,0,3,0
502,C5H5N,6,4.0,0.24747,0,4,0
659,C6H8,6,3.0,0.24753,0,0,0
940,C5H8N2,7,3.0,0.2476,0,6,5
974,C5H8N2,7,3.0,0.24771,0,5,5
240,C2H5N3O,6,2.0,0.24773,0,6,0
790,C4H7NO2,7,2.0,0.24793,0,3,0
796,C5H9NO,7,2.0,0.248,0,3,0
751,C2H3N3O,6,3.0,0.2481,0,6,5
810,C4H5NO2,7,3.0,0.24825,0,3,0
208,C6H6,6,4.0,0.24862,0,6,6
788,C5H9NO,7,2.0,0.24866,0,3,0
876,C3H3NO3,7,3.0,0.24879,0,7,5
701,C4H6N2,6,3.0,0.24887,0,0,0
803,C5H9NO,7,2.0,0.24914,0,3,0
172,CHN3O,5,3.0,0.24954,0,5,5
804,C4H7NO2,7,2.0,0.24977,0,3,0
340,C3H3NO2,6,3.0,0.24991,0,5,0
960,C6H9N,7,3.0,0.25013,0,5,5
500,C3H5NO2,6,2.0,0.25021,0,5,0
112,C4H3N,5,4.0,0.25024,0,4,0
195,C5H7N,6,3.0,0.25047,0,5,5
733,C2H3N3O,6,3.0,0.25094,0,5,5
774,C3H3NO2,6,3.0,0.25096,0,6,5
238,C3H5NO2,6,2.0,0.25144,0,5,0
207,C4H6N2,6,3.0,0.25185,0,5,5
49,C4H5N,5,3.0,0.25187,0,5,5
795,C4H9NO2,7,1.0,0.25192,0,3,0
781,C4H9NO2,7,1.0,0.25203,0,3,0
870,C4H4O3,7,3.0,0.25223,0,6,5
52,C3H3NO,5,3.0,0.2524,0,5,5
144,C3H5NO,5,2.0,0.25287,0,3,0
761,C2H2N2O2,6,3.0,0.25291,0,6,5
619,C4H7NO,6,2.0,0.25293,0,3,0
196,C4H6N2,6,3.0,0.25312,0,5,5
779,C4H6N2O,7,3.0,0.25316,0,3,0
750,C2H4N4,6,3.0,0.25319,0,6,5
721,C3H5N3,6,3.0,0.25327,0,5,5
183,C3H2O3,6,3.0,0.25342,0,6,5
826,C4H6N2O,7,3.0,0.25357,0,6,5
794,C5H11NO,7,1.0,0.2536,0,3,0
718,C3H5N3,6,3.0,0.25361,0,5,5
175,C3H7NO2,6,1.0,0.25382,0,3,0
166,C3H3NO,5,3.0,0.25387,0,5,5
599,C4H7NO,6,2.0,0.25418,0,3,0
355,C3H7NO2,6,1.0,0.25422,0,3,0
247,C4H8N2,6,2.0,0.25429,0,0,0
778,C5H7NO,7,3.0,0.25466,0,3,0
783,C4H9NO2,7,1.0,0.2547,0,3,0
194,C3H4N2O,6,3.0,0.25471,0,6,5
735,C3H5N3,6,3.0,0.25484,0,5,5
787,C4H9NO2,7,1.0,0.25505,0,3,0
371,C3H6N2O,6,2.0,0.25514,0,0,0
176,C4H9NO,6,1.0,0.25556,0,3,0
737,C3H5N3,6,3.0,0.25559,0,5,5
173,N4O,5,3.0,0.25562,0,5,5
782,C5H11NO,7,1.0,0.25571,0,3,0
23,C3HN,4,4.0,0.25618,0,4,0
676,C4H5NO,6,3.0,0.25638,0,3,0
730,C4H5NO,6,3.0,0.25678,0,5,5
162,C2H3N3,5,3.0,0.25714,0,5,5
716,C4H6N2,6,3.0,0.25739,0,5,5
786,C5H11NO,7,1.0,0.25744,0,3,0
48,C3H7NO,5,1.0,0.25794,0,3,0
738,C2H4N4,6,3.0,0.25794,0,5,5
446,C6H10,6,2.0,0.25805,0,0,0
594,C5H7N,6,3.0,0.25822,0,0,0
50,C3H4N2,5,3.0,0.25849,0,5,5
766,C3H4N2O,6,3.0,0.25864,0,6,5
729,C2H4N4,6,3.0,0.25887,0,5,5
740,C2H4N4,6,3.0,0.25893,0,5,5
739,C3H5N3,6,3.0,0.25908,0,5,5
720,C4H6N2,6,3.0,0.25962,0,5,5
455,C5H8O,6,2.0,0.25978,0,0,0
660,C4H5NO,6,3.0,0.25989,0,3,0
170,CHN3O,5,3.0,0.25999,0,5,5
421,C3H4O3,6,2.0,0.2605,0,3,0
109,C2H3NO2,5,2.0,0.26067,0,5,0
732,C3H4N2O,6,3.0,0.2609,0,5,5
728,C3H5N3,6,3.0,0.26118,0,5,5
734,C4H6N2,6,3.0,0.26118,0,5,5
452,C6H10,6,2.0,0.2614,0,0,0
545,C4H6N2,6,3.0,0.26212,0,0,0
449,C6H10,6,2.0,0.26225,0,0,0
277,C3H7NO2,6,1.0,0.2624,0,3,0
119,C3H6N2,5,2.0,0.26265,0,0,0
741,CH3N5,6,3.0,0.26267,0,5,5
416,C3H6N2O,6,2.0,0.26268,0,3,0
551,C4H7NO,6,2.0,0.26272,0,3,0
164,C2H3N3,5,3.0,0.26285,0,5,5
169,C2H2N2O,5,3.0,0.26293,0,5,5
465,C5H11N,6,1.0,0.26307,0,0,0
622,C3H5NO2,6,2.0,0.26316,0,3,0
698,C5H7N,6,3.0,0.26331,0,0,0
152,C5H8,5,2.0,0.2635,0,0,0
645,C5H8O,6,2.0,0.26369,0,0,0
366,C4H8N2,6,2.0,0.26371,0,0,0
517,C4H8N2,6,2.0,0.26396,0,0,0
725,C3H4N2O,6,3.0,0.26438,0,5,5
451,C5H8O,6,2.0,0.26468,0,0,0
