Coordinate unit detected: Angstrom (record idx=0)
processed 100 (new_ok=100 fail=0, total=100)
processed 19900 (new_ok=19900 fail=0, total=19900)
processed 20000 (new_ok=20000 fail=0, total=20000)
processed 20100 (new_ok=20100 fail=0, total=20100)
processed 20200 (new_ok=20200 fail=0, total=20200)
processed 20300 (new_ok=20300 fail=0, total=20300)
processed 20400 (new_ok=20400 fail=0, total=20400)
processed 20500 (new_ok=20500 fail=0, total=20500)
processed 20600 (new_ok=20600 fail=0, total=20600)
processed 20700 (new_ok=20700 fail=0, total=20700)
processed 20800 (new_ok=20800 fail=0, total=20800)
processed 20900 (new_ok=20900 fail=0, total=20900)
processed 21000 (new_ok=21000 fail=0, total=21000)
processed 21100 (new_ok=21100 fail=0, total=21100)
processed 21200 (new_ok=21200 fail=0, total=21200)
processed 21300 (new_ok=21300 fail=0, total=21300)
processed 21400 (new_ok=21400 fail=0, total=21400)
processed 21500 (new_ok=21500 fail=0, total=21500)
processed 21600 (new_ok=21600 fail=0, total=21600)
processed 21700 (new_ok=21700 fail=0, total=21700)
processed 21800 (new_ok=21800 fail=0, total=21800)
processed 21900 (new_ok=21900 fail=0, total=21900)
processed 22000 (new_ok=22000 fail=0, total=22000)
processed 22100 (new_ok=22100 fail=0, total=22100)
processed 22200 (new_ok=22200 fail=0, total=22200)
processed 22300 (new_ok=22300 fail=0, total=22300)
processed 22400 (new_ok=22400 fail=0, total=22400)
processed 22500 (new_ok=22500 fail=0, total=22500)
processed 22600 (new_ok=22600 fail=0, total=22600)
processed 22700 (new_ok=22700 fail=0, total=22700)
processed 22800 (new_ok=22800 fail=0, total=22800)
processed 22900 (new_ok=22900 fail=0, total=22900)
processed 23000 (new_ok=23000 fail=0, total=23000)
processed 23100 (new_ok=23100 fail=0, total=23100)
processed 23200 (new_ok=23200 fail=0, total=23200)
processed 23300 (new_ok=23299 fail=1, total=23299)
processed 23400 (new_ok=23398 fail=2, total=23398)
processed 23500 (new_ok=23497 fail=3, total=23497)
processed 23600 (new_ok=23597 fail=3, total=23597)
processed 23700 (new_ok=23697 fail=3, total=23697)
processed 23800 (new_ok=23797 fail=3, total=23797)
processed 23900 (new_ok=23897 fail=3, total=23897)
processed 24000 (new_ok=23997 fail=3, total=23997)
processed 24100 (new_ok=24097 fail=3, total=24097)
processed 24200 (new_ok=24197 fail=3, total=24197)
processed 24300 (new_ok=24297 fail=3, total=24297)
processed 24400 (new_ok=24397 fail=3, total=24397)
processed 24500 (new_ok=24497 fail=3, total=24497)
processed 24600 (new_ok=24597 fail=3, total=24597)
processed 24700 (new_ok=24697 fail=3, total=24697)
processed 24800 (new_ok=24797 fail=3, total=24797)
processed 24900 (new_ok=24897 fail=3, total=24897)
processed 25000 (new_ok=24997 fail=3, total=24997)
processed 25100 (new_ok=25097 fail=3, total=25097)
processed 25200 (new_ok=25197 fail=3, total=25197)
processed 25300 (new_ok=25297 fail=3, total=25297)
processed 25400 (new_ok=25397 fail=3, total=25397)
processed 25500 (new_ok=25497 fail=3, total=25497)
processed 25600 (new_ok=25597 fail=3, total=25597)
processed 25700 (new_ok=25697 fail=3, total=25697)
processed 25800 (new_ok=25797 fail=3, total=25797)
processed 25900 (new_ok=25897 fail=3, total=25897)
processed 26000 (new_ok=25997 fail=3, total=25997)
processed 26100 (new_ok=26097 fail=3, total=26097)
processed 26200 (new_ok=26197 fail=3, total=26197)
processed 26300 (new_ok=26297 fail=3, total=26297)
processed 26400 (new_ok=26397 fail=3, total=26397)
processed 26500 (new_ok=26497 fail=3, total=26497)
processed 26600 (new_ok=26597 fail=3, total=26597)
processed 26700 (new_ok=26697 fail=3, total=26697)
processed 26800 (new_ok=26797 fail=3, total=26797)
processed 26900 (new_ok=26897 fail=3, total=26897)
processed 27000 (new_ok=26997 fail=3, total=26997)
processed 27100 (new_ok=27097 fail=3, total=27097)
processed 27200 (new_ok=27197 fail=3, total=27197)
processed 27300 (new_ok=27297 fail=3, total=27297)
processed 27400 (new_ok=27397 fail=3, total=27397)
processed 27500 (new_ok=27497 fail=3, total=27497)
processed 27600 (new_ok=27597 fail=3, total=27597)
processed 27700 (new_ok=27697 fail=3, total=27697)
processed 27800 (new_ok=27797 fail=3, total=27797)
processed 27900 (new_ok=27897 fail=3, total=27897)
processed 28000 (new_ok=27997 fail=3, total=27997)
processed 28100 (new_ok=28097 fail=3, total=28097)
processed 28200 (new_ok=28197 fail=3, total=28197)
processed 28300 (new_ok=28297 fail=3, total=28297)
processed 28400 (new_ok=28397 fail=3, total=28397)
processed 28500 (new_ok=28497 fail=3, total=28497)
processed 28600 (new_ok=28597 fail=3, total=28597)
processed 28700 (new_ok=28697 fail=3, total=28697)
processed 28800 (new_ok=28797 fail=3, total=28797)
processed 28900 (new_ok=28897 fail=3, total=28897)
processed 29000 (new_ok=28997 fail=3, total=28997)
processed 29100 (new_ok=29097 fail=3, total=29097)
processed 29200 (new_ok=29197 fail=3, total=29197)
processed 29300 (new_ok=29297 fail=3, total=29297)
processed 29400 (new_ok=29397 fail=3, total=29397)
processed 29500 (new_ok=29497 fail=3, total=29497)
processed 29600 (new_ok=29597 fail=3, total=29597)
processed 29700 (new_ok=29697 fail=3, total=29697)
processed 29800 (new_ok=29797 fail=3, total=29797)
processed 29900 (new_ok=29897 fail=3, total=29897)
processed 30000 (new_ok=29997 fail=3, total=29997)
processed 30100 (new_ok=30097 fail=3, total=30097)
processed 30200 (new_ok=30197 fail=3, total=30197)
processed 30300 (new_ok=30297 fail=3, total=30297)
processed 30400 (new_ok=30397 fail=3, total=30397)
processed 30500 (new_ok=30497 fail=3, total=30497)
processed 30600 (new_ok=30597 fail=3, total=30597)
processed 30700 (new_ok=30697 fail=3, total=30697)
processed 30800 (new_ok=30797 fail=3, total=30797)
processed 30900 (new_ok=30897 fail=3, total=30897)
processed 31000 (new_ok=30997 fail=3, total=30997)
processed 31100 (new_ok=31097 fail=3, total=31097)
processed 31200 (new_ok=31197 fail=3, total=31197)
processed 31300 (new_ok=31297 fail=3, total=31297)
processed 31400 (new_ok=31397 fail=3, total=31397)
processed 31500 (new_ok=31497 fail=3, total=31497)
processed 31600 (new_ok=31597 fail=3, total=31597)
processed 31700 (new_ok=31697 fail=3, total=31697)
processed 31800 (new_ok=31797 fail=3, total=31797)
processed 31900 (new_ok=31897 fail=3, total=31897)
processed 32000 (new_ok=31997 fail=3, total=31997)
processed 32100 (new_ok=32097 fail=3, total=32097)
processed 32200 (new_ok=32197 fail=3, total=32197)
processed 32300 (new_ok=32297 fail=3, total=32297)
processed 32400 (new_ok=32397 fail=3, total=32397)
processed 32500 (new_ok=32497 fail=3, total=32497)
processed 32600 (new_ok=32597 fail=3, total=32597)
processed 32700 (new_ok=32697 fail=3, total=32697)
processed 32800 (new_ok=32797 fail=3, total=32797)
processed 32900 (new_ok=32897 fail=3, total=32897)
processed 33000 (new_ok=32997 fail=3, total=32997)
processed 33100 (new_ok=33097 fail=3, total=33097)
processed 33200 (new_ok=33197 fail=3, total=33197)
processed 33300 (new_ok=33297 fail=3, total=33297)
processed 33400 (new_ok=33397 fail=3, total=33397)
processed 33500 (new_ok=33497 fail=3, total=33497)
processed 33600 (new_ok=33597 fail=3, total=33597)
processed 33700 (new_ok=33697 fail=3, total=33697)
processed 33800 (new_ok=33797 fail=3, total=33797)
processed 33900 (new_ok=33897 fail=3, total=33897)
processed 34000 (new_ok=33997 fail=3, total=33997)
processed 34100 (new_ok=34097 fail=3, total=34097)
processed 34200 (new_ok=34197 fail=3, total=34197)
processed 34300 (new_ok=34297 fail=3, total=34297)
processed 34400 (new_ok=34397 fail=3, total=34397)
processed 34500 (new_ok=34497 fail=3, total=34497)
processed 34600 (new_ok=34597 fail=3, total=34597)
processed 34700 (new_ok=34697 fail=3, total=34697)
processed 34800 (new_ok=34797 fail=3, total=34797)
processed 34900 (new_ok=34897 fail=3, total=34897)
processed 35000 (new_ok=34997 fail=3, total=34997)
processed 35100 (new_ok=35097 fail=3, total=35097)
processed 35200 (new_ok=35197 fail=3, total=35197)
processed 35300 (new_ok=35297 fail=3, total=35297)
processed 35400 (new_ok=35397 fail=3, total=35397)
processed 35500 (new_ok=35497 fail=3, total=35497)
processed 35600 (new_ok=35597 fail=3, total=35597)
processed 35700 (new_ok=35697 fail=3, total=35697)
processed 35800 (new_ok=35797 fail=3, total=35797)
processed 35900 (new_ok=35897 fail=3, total=35897)
processed 36000 (new_ok=35997 fail=3, total=35997)
processed 36100 (new_ok=36097 fail=3, total=36097)
processed 36200 (new_ok=36197 fail=3, total=36197)
processed 36300 (new_ok=36297 fail=3, total=36297)
processed 36400 (new_ok=36397 fail=3, total=36397)
processed 36500 (new_ok=36497 fail=3, total=36497)
processed 36600 (new_ok=36597 fail=3, total=36597)
processed 36700 (new_ok=36697 fail=3, total=36697)
processed 36800 (new_ok=36797 fail=3, total=36797)
processed 36900 (new_ok=36897 fail=3, total=36897)
processed 37000 (new_ok=36997 fail=3, total=36997)
processed 37100 (new_ok=37097 fail=3, total=37097)
processed 37200 (new_ok=37197 fail=3, total=37197)
processed 37300 (new_ok=37297 fail=3, total=37297)
processed 37400 (new_ok=37397 fail=3, total=37397)
processed 37500 (new_ok=37497 fail=3, total=37497)
processed 37600 (new_ok=37597 fail=3, total=37597)
processed 37700 (new_ok=37697 fail=3, total=37697)
processed 37800 (new_ok=37797 fail=3, total=37797)
processed 37900 (new_ok=37897 fail=3, total=37897)
processed 38000 (new_ok=37997 fail=3, total=37997)
processed 38100 (new_ok=38097 fail=3, total=38097)
processed 38200 (new_ok=38197 fail=3, total=38197)
processed 38300 (new_ok=38297 fail=3, total=38297)
processed 38400 (new_ok=38397 fail=3, total=38397)
processed 38500 (new_ok=38497 fail=3, total=38497)
processed 38600 (new_ok=38597 fail=3, total=38597)
processed 38700 (new_ok=38697 fail=3, total=38697)
processed 38800 (new_ok=38797 fail=3, total=38797)
processed 38900 (new_ok=38897 fail=3, total=38897)
processed 39000 (new_ok=38997 fail=3, total=38997)
processed 39100 (new_ok=39097 fail=3, total=39097)
processed 39200 (new_ok=39197 fail=3, total=39197)
processed 39300 (new_ok=39297 fail=3, total=39297)
processed 39400 (new_ok=39397 fail=3, total=39397)
processed 39500 (new_ok=39497 fail=3, total=39497)
processed 39600 (new_ok=39597 fail=3, total=39597)
processed 39700 (new_ok=39697 fail=3, total=39697)
processed 39800 (new_ok=39797 fail=3, total=39797)
processed 39900 (new_ok=39897 fail=3, total=39897)
processed 40000 (new_ok=39997 fail=3, total=39997)
processed 40100 (new_ok=40097 fail=3, total=40097)
processed 40200 (new_ok=40197 fail=3, total=40197)
processed 40300 (new_ok=40297 fail=3, total=40297)
processed 40400 (new_ok=40397 fail=3, total=40397)
processed 40500 (new_ok=40497 fail=3, total=40497)
processed 40600 (new_ok=40597 fail=3, total=40597)
processed 40700 (new_ok=40697 fail=3, total=40697)
processed 40800 (new_ok=40797 fail=3, total=40797)
processed 40900 (new_ok=40897 fail=3, total=40897)
processed 41000 (new_ok=40997 fail=3, total=40997)
processed 41100 (new_ok=41097 fail=3, total=41097)
processed 41200 (new_ok=41197 fail=3, total=41197)
processed 41300 (new_ok=41297 fail=3, total=41297)
processed 41400 (new_ok=41397 fail=3, total=41397)
processed 41500 (new_ok=41497 fail=3, total=41497)
processed 41600 (new_ok=41597 fail=3, total=41597)
processed 41700 (new_ok=41697 fail=3, total=41697)
processed 41800 (new_ok=41797 fail=3, total=41797)
processed 41900 (new_ok=41897 fail=3, total=41897)
processed 42000 (new_ok=41997 fail=3, total=41997)
processed 42100 (new_ok=42097 fail=3, total=42097)
processed 42200 (new_ok=42197 fail=3, total=42197)
processed 42300 (new_ok=42297 fail=3, total=42297)
processed 42400 (new_ok=42397 fail=3, total=42397)
processed 42500 (new_ok=42497 fail=3, total=42497)
processed 42600 (new_ok=42597 fail=3, total=42597)
processed 42700 (new_ok=42697 fail=3, total=42697)
processed 42800 (new_ok=42797 fail=3, total=42797)
processed 42900 (new_ok=42897 fail=3, total=42897)
processed 43000 (new_ok=42997 fail=3, total=42997)
processed 43100 (new_ok=43097 fail=3, total=43097)
processed 43200 (new_ok=43197 fail=3, total=43197)
processed 43300 (new_ok=43297 fail=3, total=43297)
processed 43400 (new_ok=43397 fail=3, total=43397)
processed 43500 (new_ok=43497 fail=3, total=43497)
processed 43600 (new_ok=43597 fail=3, total=43597)
processed 43700 (new_ok=43697 fail=3, total=43697)
processed 43800 (new_ok=43797 fail=3, total=43797)
processed 43900 (new_ok=43897 fail=3, total=43897)
processed 44000 (new_ok=43997 fail=3, total=43997)
processed 44100 (new_ok=44097 fail=3, total=44097)
resuming: 44000 molecules already in results/qh9_conjugation_screen_full.csv.partial
Coordinate unit detected: Angstrom (record idx=44003)
processed 44100 (new_ok=97 fail=3, total=44097)
processed 44200 (new_ok=197 fail=3, total=44197)
processed 44300 (new_ok=297 fail=3, total=44297)
processed 44400 (new_ok=397 fail=3, total=44397)
processed 44500 (new_ok=497 fail=3, total=44497)
processed 44600 (new_ok=597 fail=3, total=44597)
processed 44700 (new_ok=697 fail=3, total=44697)
processed 44800 (new_ok=797 fail=3, total=44797)
processed 44900 (new_ok=897 fail=3, total=44897)
processed 45000 (new_ok=997 fail=3, total=44997)
processed 45100 (new_ok=1097 fail=3, total=45097)
processed 45200 (new_ok=1197 fail=3, total=45197)
processed 45300 (new_ok=1297 fail=3, total=45297)
processed 45400 (new_ok=1397 fail=3, total=45397)
processed 45500 (new_ok=1497 fail=3, total=45497)
processed 45600 (new_ok=1597 fail=3, total=45597)
processed 45700 (new_ok=1697 fail=3, total=45697)
processed 45800 (new_ok=1797 fail=3, total=45797)
processed 45900 (new_ok=1897 fail=3, total=45897)
processed 46000 (new_ok=1997 fail=3, total=45997)
processed 46100 (new_ok=2097 fail=3, total=46097)
processed 46200 (new_ok=2197 fail=3, total=46197)
processed 46300 (new_ok=2297 fail=3, total=46297)
processed 46400 (new_ok=2397 fail=3, total=46397)
processed 46500 (new_ok=2497 fail=3, total=46497)
processed 46600 (new_ok=2597 fail=3, total=46597)
processed 46700 (new_ok=2697 fail=3, total=46697)
processed 46800 (new_ok=2797 fail=3, total=46797)
processed 46900 (new_ok=2897 fail=3, total=46897)
processed 47000 (new_ok=2997 fail=3, total=46997)
processed 47100 (new_ok=3097 fail=3, total=47097)
processed 47200 (new_ok=3197 fail=3, total=47197)
processed 47300 (new_ok=3297 fail=3, total=47297)
processed 47400 (new_ok=3397 fail=3, total=47397)
processed 47500 (new_ok=3497 fail=3, total=47497)
processed 47600 (new_ok=3597 fail=3, total=47597)
processed 47700 (new_ok=3697 fail=3, total=47697)
processed 47800 (new_ok=3797 fail=3, total=47797)
processed 47900 (new_ok=3897 fail=3, total=47897)
processed 48000 (new_ok=3997 fail=3, total=47997)
processed 48100 (new_ok=4097 fail=3, total=48097)
processed 48200 (new_ok=4197 fail=3, total=48197)
processed 48300 (new_ok=4297 fail=3, total=48297)
processed 48400 (new_ok=4397 fail=3, total=48397)
processed 48500 (new_ok=4497 fail=3, total=48497)
processed 48600 (new_ok=4597 fail=3, total=48597)
processed 48700 (new_ok=4697 fail=3, total=48697)
processed 48800 (new_ok=4797 fail=3, total=48797)
processed 48900 (new_ok=4897 fail=3, total=48897)
processed 49000 (new_ok=4997 fail=3, total=48997)
processed 49100 (new_ok=5097 fail=3, total=49097)
processed 49200 (new_ok=5197 fail=3, total=49197)
processed 49300 (new_ok=5297 fail=3, total=49297)
processed 49400 (new_ok=5397 fail=3, total=49397)
processed 49500 (new_ok=5497 fail=3, total=49497)
processed 49600 (new_ok=5597 fail=3, total=49597)
processed 49700 (new_ok=5697 fail=3, total=49697)
processed 49800 (new_ok=5797 fail=3, total=49797)
processed 49900 (new_ok=5897 fail=3, total=49897)
processed 50000 (new_ok=5997 fail=3, total=49997)
processed 50100 (new_ok=6097 fail=3, total=50097)
processed 50200 (new_ok=6197 fail=3, total=50197)
processed 50300 (new_ok=6297 fail=3, total=50297)
processed 50400 (new_ok=6397 fail=3, total=50397)
processed 50500 (new_ok=6497 fail=3, total=50497)
processed 50600 (new_ok=6597 fail=3, total=50597)
processed 50700 (new_ok=6697 fail=3, total=50697)
processed 50800 (new_ok=6797 fail=3, total=50797)
processed 50900 (new_ok=6897 fail=3, total=50897)
processed 51000 (new_ok=6997 fail=3, total=50997)
processed 51100 (new_ok=7097 fail=3, total=51097)
processed 51200 (new_ok=7197 fail=3, total=51197)
processed 51300 (new_ok=7297 fail=3, total=51297)
processed 51400 (new_ok=7397 fail=3, total=51397)
processed 51500 (new_ok=7497 fail=3, total=51497)
processed 51600 (new_ok=7597 fail=3, total=51597)
processed 51700 (new_ok=7697 fail=3, total=51697)
processed 51800 (new_ok=7797 fail=3, total=51797)
processed 51900 (new_ok=7897 fail=3, total=51897)
processed 52000 (new_ok=7997 fail=3, total=51997)
processed 52100 (new_ok=8097 fail=3, total=52097)
processed 52200 (new_ok=8197 fail=3, total=52197)
processed 52300 (new_ok=8297 fail=3, total=52297)
processed 52400 (new_ok=8397 fail=3, total=52397)
processed 52500 (new_ok=8497 fail=3, total=52497)
processed 52600 (new_ok=8597 fail=3, total=52597)
processed 52700 (new_ok=8697 fail=3, total=52697)
processed 52800 (new_ok=8797 fail=3, total=52797)
processed 52900 (new_ok=8897 fail=3, total=52897)
processed 53000 (new_ok=8997 fail=3, total=52997)
processed 53100 (new_ok=9097 fail=3, total=53097)
processed 53200 (new_ok=9197 fail=3, total=53197)
processed 53300 (new_ok=9297 fail=3, total=53297)
